_STATE,total_respondents,inactivity_rate,avg_bmi,avg_unhealthy_days,pct_obese,pct_chronic,pct_low_income,pct_low_education,avg_vulnerability,state_name,cluster,cluster_label,nn_predicted_risk,priority_index,rank
72.0,4160,42.36,2892.7413461538463,7.651682692307692,0.3557692307692308,0.3923076923076923,0.3894230769230769,0.11514423076923076,1.9584134615384616,Puerto Rico,2,High risk,51.46,100.0,1
54.0,5419,29.34,2954.329027495848,8.932090791658977,0.38125115334932647,0.5818416682044658,0.13877099095774129,0.06624838531094297,1.9645691086916406,West Virginia,2,High risk,42.39,83.6,2
21.0,6719,30.72,2932.1080517934215,9.470159249888376,0.3588331596963834,0.5390683137371632,0.1802351540407799,0.07545765738949248,1.89194820657836,Kentucky,2,High risk,43.22,80.6,3
5.0,4815,30.59,2909.93769470405,9.40747663551402,0.3462097611630322,0.5208722741433022,0.16427829698857735,0.06064382139148494,1.888473520249221,Arkansas,2,High risk,43.83,78.9,4
1.0,4783,28.27,2907.2720050177713,8.165795525820615,0.3637884173113109,0.5312565335563454,0.12502613422538156,0.0660673217645829,1.7976165586452018,Alabama,2,High risk,41.35,70.6,5
55.0,11950,24.35,2907.8158158995816,7.747364016736402,0.34418410041841,0.4996652719665272,0.1292887029288703,0.04619246861924686,1.8075313807531381,Wisconsin,1,Medium risk,40.65,62.2,6
45.0,8530,24.94,2884.7575615474793,7.258499413833529,0.33083235638921454,0.5100820633059789,0.12930832356389216,0.05627198124267292,1.7900351699882766,South Carolina,1,Medium risk,40.01,61.8,7
10.0,4048,25.96,2888.8656126482215,7.206768774703558,0.33374505928853754,0.5086462450592886,0.09486166007905138,0.05138339920948617,1.7742094861660078,Delaware,1,Medium risk,39.42,61.2,8
12.0,11971,26.32,2818.334976192465,7.8512237908278335,0.2919555592682316,0.4946955141592181,0.1209589842118453,0.05346253445827416,1.7539888062818478,Florida,1,Medium risk,40.03,59.6,9
22.0,4125,26.13,2900.0923636363636,8.893333333333333,0.3427878787878788,0.4792727272727273,0.14812121212121213,0.07466666666666667,1.7204848484848485,Louisiana,2,High risk,39.08,58.2,10
39.0,9394,24.11,2902.9855226740474,7.802852884820098,0.34734937193953586,0.5073451139024909,0.12188631041090058,0.04449648711943794,1.7302533532041728,Ohio,1,Medium risk,39.03,57.8,11
40.0,6140,27.85,2900.6571661237786,8.143322475570033,0.3503257328990228,0.46889250814332245,0.11335504885993486,0.06563517915309446,1.6408794788273615,Oklahoma,1,Medium risk,39.89,57.5,12
26.0,10459,22.92,2882.5549287694807,8.030500047805717,0.33282340567931923,0.4959365140070752,0.12917104885744335,0.035663065302610195,1.7320967587723493,Michigan,1,Medium risk,38.62,54.6,13
18.0,12101,24.94,2918.7064705396247,8.059168663746798,0.35030162796463105,0.4695479712420461,0.12213866622593174,0.05792909676886208,1.6658127427485332,Indiana,1,Medium risk,39.36,54.3,14
13.0,6652,24.61,2862.595159350571,7.982110643415514,0.3251653638003608,0.461665664461816,0.13199037883343356,0.0626879134095009,1.6897173782321107,Georgia,1,Medium risk,39.4,53.4,15
28.0,2765,29.37,2954.4151898734176,7.3034358047016275,0.38589511754068717,0.4177215189873418,0.11464737793851718,0.05605786618444846,1.555515370705244,Mississippi,1,Medium risk,39.3,53.2,16
51.0,6349,24.04,2835.294534572374,7.526697117656324,0.3085525279571586,0.5052764214836982,0.10096078122538983,0.04945660733973854,1.7119231375019688,Virginia,1,Medium risk,37.27,52.9,17
31.0,12136,25.05,2917.3501977587343,6.859096901779829,0.3622280817402769,0.42946605141727096,0.11783124588002637,0.07333553065260383,1.6512854317732366,Nebraska,1,Medium risk,40.17,52.2,18
23.0,11231,22.16,2840.1020389991986,8.04861543940878,0.30816490072121805,0.4982637343068293,0.13053156441990918,0.030273350547591487,1.7166770545810703,Maine,1,Medium risk,37.11,50.5,19
46.0,5390,24.75,2891.9666048237477,6.753246753246753,0.35064935064935066,0.45584415584415583,0.11743970315398887,0.04341372912801484,1.6521335807050093,South Dakota,1,Medium risk,37.44,50.1,20
35.0,3181,23.17,2816.0342659541025,8.498585350518704,0.2986482238289846,0.4489154353976737,0.12826155297076391,0.08204966991512103,1.6997799434140208,New Mexico,1,Medium risk,38.68,49.0,21
29.0,6719,25.81,2867.6185444262537,8.190206876023218,0.32445304360767974,0.439648757255544,0.11192141687751153,0.058937341866349156,1.5863967852358982,Missouri,1,Medium risk,39.02,48.8,22
56.0,4285,22.68,2814.9190198366396,7.620536756126021,0.2933488914819137,0.47397899649941655,0.1073512252042007,0.034305717619603264,1.6858809801633605,Wyoming,1,Medium risk,37.44,47.7,23
78.0,1203,23.86,2822.689941812136,6.215295095594348,0.3083956774729842,0.3940149625935162,0.11970074812967581,0.12385702410640066,1.6209476309226933,Virgin Islands,1,Medium risk,40.53,45.5,25
19.0,8369,24.42,2919.1329907993786,7.299677380810133,0.3518938941331103,0.41390847174094875,0.11052694467678337,0.06380690644043494,1.5871669255586092,Iowa,1,Medium risk,38.54,45.5,25
4.0,7945,21.95,2803.685336689742,7.812586532410321,0.2854625550660793,0.45978602894902454,0.12674638137193203,0.0592825676526117,1.669100062932662,Arizona,1,Medium risk,37.68,45.5,25
42.0,3197,22.96,2854.4964028776976,8.30403503284329,0.31998748827025336,0.4401000938379731,0.14920237722865187,0.0628714419768533,1.6174538629965594,Pennsylvania,1,Medium risk,37.81,45.4,27
66.0,1563,24.76,2834.5534229046707,7.339731285988484,0.32437619961612285,0.4152271273192578,0.13115802943058222,0.053742802303262956,1.5495841330774152,Guam,1,Medium risk,38.68,44.3,28
30.0,6417,21.74,2809.082593112046,7.746143057503506,0.2951534985195574,0.46610565684899485,0.10924107838553841,0.041452392083528126,1.6598098800062335,Montana,1,Medium risk,36.51,44.0,29
33.0,6504,19.88,2772.564114391144,6.525061500615006,0.25753382533825336,0.5076875768757687,0.07579950799507995,0.029059040590405903,1.7215559655596555,New Hampshire,0,Low risk,35.27,43.5,30
38.0,5491,23.24,2892.0477144418137,6.127117100710253,0.3391003460207612,0.44782371152795486,0.0801311236568931,0.03205244946275724,1.5895101074485523,North Dakota,1,Medium risk,36.53,43.2,31
20.0,10109,23.96,2899.606390345237,7.300524285290336,0.35077653576021367,0.43673953902463153,0.07745573251558018,0.0360075180532199,1.5388267880106836,Kansas,1,Medium risk,37.19,42.7,32
32.0,2446,21.05,2816.426001635323,8.47506132461161,0.2980376124284546,0.4513491414554375,0.09239574816026165,0.06009811937857727,1.6042518397383483,Nevada,1,Medium risk,36.47,39.9,33
24.0,13326,21.02,2854.039996998349,7.207939366651658,0.30714392916103855,0.4609785381960078,0.09305117814798139,0.05312922107158938,1.5944769623292812,Maryland,1,Medium risk,35.39,39.3,34
17.0,11556,23.66,2856.1170820353063,7.250259605399792,0.3254586362062998,0.3920906888196608,0.14035998615437867,0.07563170647282796,1.5146244375216338,Illinois,1,Medium risk,36.3,37.2,35
36.0,40227,22.89,2838.1076142889106,7.7227981206652245,0.2997240659258707,0.4136028040868074,0.13053421831108458,0.061724712257936215,1.5168170631665299,New York,1,Medium risk,35.98,36.5,36
48.0,11257,23.8,2868.1329839211157,7.822155103491161,0.31988984631784667,0.3945989162299014,0.12312338989073465,0.07204406147286133,1.4932042284800568,Texas,1,Medium risk,36.25,36.3,37
44.0,5016,21.59,2802.728668261563,7.4657097288676235,0.2717304625199362,0.44019138755980863,0.10685805422647528,0.06000797448165869,1.5540271132376395,Rhode Island,0,Low risk,34.88,35.3,38
16.0,4030,21.46,2847.837965260546,7.824069478908188,0.30818858560794044,0.38560794044665014,0.12779156327543426,0.07593052109181142,1.4992555831265508,Idaho,1,Medium risk,37.52,34.1,39
41.0,5651,18.6,2846.7025305255706,8.916828879844275,0.3096797027074854,0.4282427888869227,0.11980180499026721,0.06246682003185277,1.5560077862325252,Oregon,1,Medium risk,34.75,32.2,40
37.0,4051,20.44,2847.0989879042213,7.200197482103184,0.31621821772401876,0.3937299432238953,0.09997531473710194,0.091088620093804,1.4606270056776105,North Carolina,1,Medium risk,36.39,30.6,41
15.0,6273,20.39,2705.218715128328,7.339231627610394,0.23417822413518252,0.42372070779531323,0.10282161645145864,0.03299856527977044,1.5152239757691695,Hawaii,0,Low risk,35.15,30.2,42
6.0,7608,19.98,2765.8774973711884,8.085436382754995,0.2576235541535226,0.3807833859095689,0.14353312302839116,0.09871188222923238,1.5431125131440588,California,0,Low risk,35.98,29.9,43
2.0,5049,18.82,2852.486036838978,7.561695385224797,0.3129332541097247,0.4117647058823529,0.09288968112497524,0.04020598138245197,1.4959397900574372,Alaska,0,Low risk,33.87,27.8,44
53.0,23836,16.79,2816.914541030374,7.820985064608156,0.28645745930525257,0.4299379090451418,0.08071824131565698,0.042960228226212455,1.4917351904681995,Washington,0,Low risk,32.82,24.0,45
34.0,7828,22.39,2802.7146142054166,7.21282575370465,0.2676290240163516,0.3681655595298927,0.10462442514052121,0.054675523760858456,1.369315278487481,New Jersey,0,Low risk,34.26,23.6,46
9.0,6607,19.72,2822.3080066596035,7.405176328136824,0.2837899197820493,0.40033298017254426,0.09777508702890873,0.04510367791736038,1.4072952928711973,Connecticut,0,Low risk,32.74,22.6,47
27.0,14157,16.77,2832.799533799534,6.765275128911493,0.2929999293635657,0.3945751218478491,0.08165571801935438,0.03545949000494455,1.4245249699795155,Minnesota,0,Low risk,32.17,18.4,48
50.0,6083,14.93,2771.0974847936873,7.194805194805195,0.25793194147624526,0.4358047016274864,0.07808647049153378,0.02235738944599704,1.448134144336676,Vermont,0,Low risk,29.78,15.8,49
49.0,11891,17.78,2789.105794298209,7.6582289126229925,0.2846690774535363,0.3684299049701455,0.06677318980741738,0.045496594062736526,1.3036750483558994,Utah,0,Low risk,32.25,13.1,50
25.0,8656,17.64,2755.890480591497,7.122227356746765,0.24468576709796672,0.37384473197781887,0.0933456561922366,0.05117837338262477,1.3562846580406653,Massachusetts,0,Low risk,31.21,12.9,51
8.0,10129,15.46,2724.7228749136143,7.5038009675190045,0.22687333399150952,0.37792477046105244,0.09280284332115707,0.04630269523151347,1.3207621680323822,Colorado,0,Low risk,30.08,7.2,52
11.0,2959,14.23,2712.9117945251774,6.447448462318351,0.2294694153430213,0.3534978033119297,0.09361270699560663,0.02872592091922947,1.2781345049003041,District of Columbia,0,Low risk,28.11,0.0,53
